Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1680991200.0 106.0 47 0 0 NA NA 107 0 0 NA NA 760 194 1476 NA NA 1006 455 2452 NA NA
1680991200.0 111.0 78 122 274 NA NA 183 582 422 NA NA 1661 602 1648 NA NA 1214 818 2699 NA NA
1680991200.0 11625.0 67 161 357 0 69 125 604 524 0 134 1920 763 1971 1239 275 1727 2320 3781 1845 887
1680991200.0 120.0 62 118 271 NA NA 140 582 421 NA NA 976 405 1639 NA NA 1526 600 2461 NA NA
1680991200.0 122.0 46 0 0 NA NA 102 0 0 NA NA 767 193 1494 NA NA 876 488 3430 NA NA
1680991200.0 125.0 89 96 276 NA NA 214 584 414 NA NA 2268 468 1717 NA NA 1924 2039 2757 NA NA
1680991200.0 127.0 63 174 269 NA NA 137 584 419 NA NA 1251 410 1654 NA NA 1550 877 2817 NA NA
1680991200.0 128.0 60 119 265 NA NA 137 584 408 NA NA 859 429 1632 NA NA 1018 838 2484 NA NA
1680991200.0 130.0 63 133 271 NA NA 138 580 411 NA NA 1073 402 1639 NA NA 1442 695 2635 NA NA
1680991200.0 131.0 63 107 273 NA NA 138 582 404 NA NA 1307 431 1675 NA NA 973 1771 2632 NA NA
1680991200.0 1325.6 NA 226 NA NA NA NA 364 NA NA NA NA 5066 NA NA NA NA 5838 NA NA NA
1680991200.0 250405.17 389 0 130 NA NA 785 0 216 NA NA 1480 282 946 NA NA 2652 674 1817 NA NA
1680991200.0 250406.0 343 0 128 NA NA 707 0 211 NA NA 1097 248 904 NA NA 3601 581 2636 NA NA
1680991200.0 4008.0 47 0 0 NA NA 107 0 0 NA NA 1037 203 1464 NA NA 1475 566 2528 NA NA
1680991200.0 511.0 48 0 NA NA NA 91 0 NA NA NA 7593 123 NA NA NA 12719 361 NA NA NA
