Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1681333200.0 1.0 82 114 184 NA NA NA NA NA NA 287 251 423 NA NA NA NA NA NA 1475 387 1032 NA NA NA NA NA NA 1517 1217 2114 NA NA NA NA NA NA
1681333200.0 10.0 NA 145 297 0 NA NA NA NA NA NA 320 546 0 NA NA NA NA NA NA 1395 2920 424 NA NA NA NA NA NA 1239 3740 631 NA NA NA NA NA
1681333200.0 1000.0 NA 279 151 0 52 NA NA NA NA NA 532 331 0 188 NA NA NA NA NA 2450 749 316 262 NA NA NA NA NA 2790 1567 539 357 NA NA NA NA
1681333200.0 10001.0 NA 217 448 0 87 92 NA NA NA NA 397 811 0 233 259 NA NA NA NA 1613 1564 431 354 443 NA NA NA NA 1431 3219 730 1069 857 NA NA NA
1681333200.0 10002.0 NA 215 452 0 87 91 NA NA NA NA 383 831 0 235 255 NA NA NA NA 1626 1562 439 352 456 NA NA NA NA 1730 2707 804 786 894 NA NA NA
1681333200.0 10003.0 NA 218 458 0 87 92 NA NA NA NA 382 797 0 226 251 NA NA NA NA 1630 1609 429 347 451 NA NA NA NA 1553 3223 645 670 708 NA NA NA
1681333200.0 10004.0 NA 216 449 0 88 94 NA NA NA NA 386 819 0 230 253 NA NA NA NA 1612 1536 430 351 435 NA NA NA NA 1495 2526 755 789 858 NA NA NA
1681333200.0 10005.0 NA 212 452 0 103 91 NA NA NA NA 391 825 0 232 249 NA NA NA NA 1668 1587 449 362 452 NA NA NA NA 1934 1994 1014 1584 1011 NA NA NA
1681333200.0 10006.0 NA 217 450 0 86 83 NA NA NA NA 384 812 0 233 252 NA NA NA NA 1609 1535 426 355 427 NA NA NA NA 1098 3166 639 730 823 NA NA NA
1681333200.0 10007.0 NA 218 451 0 116 93 NA NA NA NA 390 829 0 304 255 NA NA NA NA 1630 1569 432 359 437 NA NA NA NA 1809 2782 749 649 858 NA NA NA
1681333200.0 10008.0 NA 219 450 0 114 89 NA NA NA NA 393 852 0 308 249 NA NA NA NA 1618 1569 435 361 430 NA NA NA NA 1336 2300 895 764 526 NA NA NA
1681333200.0 10009.0 NA 218 457 0 115 90 NA NA NA NA 377 869 0 311 252 NA NA NA NA 1670 1713 456 408 460 NA NA NA NA 1271 3820 1182 2042 1390 NA NA NA
1681333200.0 1001.0 NA 255 125 0 0 0 0 0 0 NA 481 287 0 0 0 0 0 0 NA 2489 512 113 89 117 293 145 296 NA 6500 2243 1001 457 466 528 405 504
1681333200.0 1001.2 NA 524 169 0 0 0 0 NA NA NA 943 367 0 0 0 0 NA NA NA 10521 838 112 136 143 164 NA NA NA 6216 1579 272 386 306 599 NA NA
1681333200.0 1002.3 NA 494 161 0 NA NA NA NA NA NA 896 354 0 NA NA NA NA NA NA 7253 783 287 NA NA NA NA NA NA 4103 1757 721 NA NA NA NA NA
1681333200.0 1002.4 NA 507 0 NA NA NA NA NA NA NA 927 0 NA NA NA NA NA NA NA 10917 479 NA NA NA NA NA NA NA 4838 623 NA NA NA NA NA NA
1681333200.0 10023.0 NA 217 449 0 86 84 NA NA NA NA 390 821 0 226 248 NA NA NA NA 1612 1536 435 346 429 NA NA NA NA 1502 2438 700 702 698 NA NA NA
1681333200.0 10024.0 NA 224 467 0 117 94 NA NA NA NA 404 868 0 307 251 NA NA NA NA 1722 1866 479 393 482 NA NA NA NA 1282 3540 1206 1095 1508 NA NA NA
1681333200.0 10024.1 NA 228 237 0 NA NA NA NA NA NA 401 512 0 NA NA NA NA NA NA 1666 711 408 NA NA NA NA NA NA 1803 1115 515 NA NA NA NA NA
1681333200.0 10024.2 NA 228 466 0 NA NA NA NA NA NA 403 855 0 NA NA NA NA NA NA 1644 1811 446 NA NA NA NA NA NA 1236 2757 512 NA NA NA NA NA
1681333200.0 10024.3 NA 227 221 0 NA NA NA NA NA NA 402 506 0 NA NA NA NA NA NA 1663 696 367 NA NA NA NA NA NA 1762 1117 457 NA NA NA NA NA
